ecurr = -12, pn_right = 2.725080201e+22, pn_left = -9.705552614e+21, f = 2.106345358
ecurr = -11.99, pn_right = 2.597441693e+22, pn_left = -8.86702722e+21, f = 2.03663123
ecurr = -11.98, pn_right = 2.474518915e+22, pn_left = -8.06439009e+21, f = 1.966906928
ecurr = -11.97, pn_right = 2.356158419e+22, pn_left = -7.296407518e+21, f = 1.897181465
ecurr = -11.96, pn_right = 2.242211319e+22, pn_left = -6.56188299e+21, f = 1.827463777
ecurr = -11.95, pn_right = 2.132533161e+22, pn_left = -5.859656178e+21, f = 1.757762725
ecurr = -11.94, pn_right = 2.026983804e+22, pn_left = -5.188601959e+21, f = 1.688087095
ecurr = -11.93, pn_right = 1.925427297e+22, pn_left = -4.547629465e+21, f = 1.618445598
ecurr = -11.92, pn_right = 1.827731769e+22, pn_left = -3.935681142e+21, f = 1.548846867
ecurr = -11.91, pn_right = 1.733769311e+22, pn_left = -3.351731845e+21, f = 1.479299461
ecurr = -11.9, pn_right = 1.64341587e+22, pn_left = -2.794787946e+21, f = 1.40981186
ecurr = -11.89, pn_right = 1.556551138e+22, pn_left = -2.263886468e+21, f = 1.340392468
ecurr = -11.88, pn_right = 1.47305845e+22, pn_left = -1.758094238e+21, f = 1.271049614
ecurr = -11.87, pn_right = 1.392824682e+22, pn_left = -1.276507064e+21, f = 1.201791546
ecurr = -11.86, pn_right = 1.31574015e+22, pn_left = -8.182489255e+20, f = 1.132626438
ecurr = -11.85, pn_right = 1.241698518e+22, pn_left = -3.824711949e+20, f = 1.063562383
ecurr = -11.84, pn_right = 1.170596697e+22, pn_left = 3.164813397e+19, f = 0.9946073996
ecurr = -11.83, pn_right = 1.10233476e+22, pn_left = 4.249051894e+20, f = 0.9257694257
ecurr = -11.82, pn_right = 1.036815849e+22, pn_left = 7.980709504e+20, f = 0.8570563224
ecurr = -11.81, pn_right = 9.73946088e+21, pn_left = 1.151891956e+21, f = 0.7884758719
ecurr = -11.8, pn_right = 9.136345018e+21, pn_left = 1.487090999e+21, f = 0.7200357782
ecurr = -11.79, pn_right = 8.557929297e+21, pn_left = 1.804367795e+21, f = 0.6517436667
ecurr = -11.78, pn_right = 8.00335947e+21, pn_left = 2.104399645e+21, f = 0.5836070842
ecurr = -11.77, pn_right = 7.471807869e+21, pn_left = 2.387842076e+21, f = 0.5156334983
ecurr = -11.76, pn_right = 6.96247264e+21, pn_left = 2.655329458e+21, f = 0.4478302983
ecurr = -11.75, pn_right = 6.474577007e+21, pn_left = 2.90747562e+21, f = 0.3802047942
ecurr = -11.74, pn_right = 6.007368548e+21, pn_left = 3.144874438e+21, f = 0.3127642169
ecurr = -11.73, pn_right = 5.560118493e+21, pn_left = 3.368100414e+21, f = 0.2455157184
ecurr = -11.72, pn_right = 5.132121044e+21, pn_left = 3.577709236e+21, f = 0.1784663716
ecurr = -11.71, pn_right = 4.722692706e+21, pn_left = 3.774238328e+21, f = 0.1116231701
ecurr = -11.7, pn_right = 4.331171645e+21, pn_left = 3.95820738e+21, f = 0.04499302829
ecurr = -11.69, pn_right = 3.956917055e+21, pn_left = 4.130118871e+21, f = -0.02141721861
ecurr = -11.68, pn_right = 3.599308545e+21, pn_left = 4.290458572e+21, f = -0.08760081464
ecurr = -11.685, pn_right = 3.776070034e+21, pn_left = 4.211705474e+21, f = -0.05453776713
ecurr = -11.69, pn_right = 3.956917055e+21, pn_left = 4.130118871e+21, f = -0.02141721861
ecurr = -11.695, pn_right = 4.141925287e+21, pn_left = 4.045639575e+21, f = 0.01175999387
ecurr = -11.7, pn_right = 4.331171645e+21, pn_left = 3.95820738e+21, f = 0.04499302829
ecurr = -11.6975, pn_right = 4.236013844e+21, pn_left = 4.002296392e+21, f = 0.02836958616
ecurr = -11.695, pn_right = 4.141925287e+21, pn_left = 4.045639575e+21, f = 0.01175999387
ecurr = -11.6925, pn_right = 4.048896242e+21, pn_left = 4.088244549e+21, f = -0.004835642851
ecurr = -11.69, pn_right = 3.956917055e+21, pn_left = 4.130118871e+21, f = -0.02141721861
ecurr = -11.69125, pn_right = 4.002776016e+21, pn_left = 4.109272572e+21, f = -0.01312819493
ecurr = -11.6925, pn_right = 4.048896242e+21, pn_left = 4.088244549e+21, f = -0.004835642851
ecurr = -11.69375, pn_right = 4.095278931e+21, pn_left = 4.067033864e+21, f = 0.003460424471
ecurr = -11.695, pn_right = 4.141925287e+21, pn_left = 4.045639575e+21, f = 0.01175999387
ecurr = -11.694375, pn_right = 4.118569075e+21, pn_left = 4.056359729e+21, f = 0.007609772236
ecurr = -11.69375, pn_right = 4.095278931e+21, pn_left = 4.067033864e+21, f = 0.003460424471
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477738
ecurr = -11.6925, pn_right = 4.048896242e+21, pn_left = 4.088244549e+21, f = -0.004835642851
ecurr = -11.6928125, pn_right = 4.060467261e+21, pn_left = 4.082959039e+21, f = -0.002761955061
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477738
ecurr = -11.6934375, pn_right = 4.083658587e+21, pn_left = 4.072353711e+21, f = 0.001386078806
ecurr = -11.69328125, pn_right = 4.077854589e+21, pn_left = 4.075009336e+21, f = 0.0003489881173
ecurr = -11.693125, pn_right = 4.072054703e+21, pn_left = 4.077662098e+21, f = -0.0006880477738
ecurr = -11.69320313, pn_right = 4.074954132e+21, pn_left = 4.076336075e+21, f = -0.0001695366795
ecurr = -11.69328125, pn_right = 4.077854589e+21, pn_left = 4.075009336e+21, f = 0.0003489881173
ecurr = -11.69324219, pn_right = 4.076404232e+21, pn_left = 4.075672795e+21, f = 8.972400627e-05
ecurr = -11.69320313, pn_right = 4.074954132e+21, pn_left = 4.076336075e+21, f = -0.0001695366795
ecurr = -11.69322266, pn_right = 4.07567915e+21, pn_left = 4.076004457e+21, f = -3.99067648e-05
ecurr = -11.69324219, pn_right = 4.076404232e+21, pn_left = 4.075672795e+21, f = 8.972400627e-05
ecurr = -11.69323242, pn_right = 4.076041683e+21, pn_left = 4.075838632e+21, f = 2.490851369e-05
ecurr = -11.69322266, pn_right = 4.07567915e+21, pn_left = 4.076004457e+21, f = -3.99067648e-05
ecurr = -11.69322754, pn_right = 4.075860414e+21, pn_left = 4.075921546e+21, f = -7.499152318e-06
ecurr = -11.69323242, pn_right = 4.076041683e+21, pn_left = 4.075838632e+21, f = 2.490851368e-05
ecurr = -11.69322998, pn_right = 4.075951048e+21, pn_left = 4.075880089e+21, f = 8.704673983e-06
